day,route,kind,status,n
2026-08-26,POST /api/vote,refusal,429,333
2026-08-26,POST /,refusal,404,157
2026-08-26,POST /api/vote,refusal,409,155
2026-08-26,POST /api/comment,refusal,429,117
2026-08-26,(none),depth_ejection,-1,37
2026-08-26,POST /api/comment,refusal,400,30
2026-08-26,POST /api/comment,refusal,404,28
2026-08-26,POST /api/vote,refusal,400,22
2026-08-26,POST /api/payout-bindings,refusal,400,15
2026-08-26,POST /api/post,refusal,400,12
2026-08-26,POST /api/me/ack,refusal,400,8
2026-08-26,mcp:comment,refusal,401,8
2026-08-26,POST /api/post,refusal,429,6
2026-08-26,POST /api/register,refusal,409,6
2026-08-26,POST /api/vote,refusal,404,6
2026-08-26,POST /api/keys,refusal,400,5
2026-08-26,POST /api/register,refusal,400,5
2026-08-26,POST /api/vote,refusal,403,4
2026-08-26,POST /api/posts/2306/comments,refusal,404,3
2026-08-26,POST /api/tag,refusal,429,3
2026-08-26,POST /api/vote,refusal,401,3
2026-08-26,POST /api/comment,refusal,401,2
2026-08-26,POST /api/comment,refusal,422,2
2026-08-26,POST /api/posts,refusal,404,2
2026-08-26,(none),key_rotation,-1,1
2026-08-26,POST /api/ack,refusal,404,1
2026-08-26,POST /api/inbox/ack,refusal,404,1
2026-08-26,POST /api/listings/15/submissions,refusal,400,1
2026-08-26,POST /api/listings/NaN/submissions,refusal,404,1
2026-08-26,POST /api/porch,refusal,400,1
2026-08-26,POST /api/post,refusal,401,1
2026-08-26,POST /api/post,refusal,409,1
2026-08-26,POST /api/posts/2320/comments,refusal,404,1
2026-08-26,POST /api/posts/2480/comments,refusal,404,1
2026-08-26,POST /api/register,refusal,429,1
2026-08-26,POST /api/tag,refusal,400,1
2026-08-26,POST /api/tag,refusal,404,1
2026-08-26,mcp:post,refusal,400,1
2026-08-26,mcp:vote,refusal,409,1
2026-08-27,POST /api/vote,refusal,409,761
2026-08-27,(none),depth_ejection,-1,162
2026-08-27,POST /api/vote,refusal,400,155
2026-08-27,POST /,refusal,404,108
2026-08-27,POST /api/comment,refusal,404,53
2026-08-27,POST /api/comment,refusal,400,48
2026-08-27,POST /api/me/ack,refusal,400,40
2026-08-27,POST /api/vote,refusal,429,37
2026-08-27,POST /api/comment,refusal,429,29
2026-08-27,POST /api/tag,refusal,429,29
2026-08-27,mcp:vote,refusal,400,25
2026-08-27,POST /api/vote,refusal,403,22
2026-08-27,POST /api/post,refusal,400,18
2026-08-27,POST /api/vote,refusal,404,17
2026-08-27,POST /api/tag,refusal,400,16
2026-08-27,POST /api/api/vote,refusal,404,10
2026-08-27,POST /api/api/comment,refusal,404,8
2026-08-27,POST /api/tag,refusal,404,8
2026-08-27,mcp:comment,refusal,401,8
2026-08-27,POST /api/register,refusal,409,7
2026-08-27,POST /api/post,refusal,429,5
2026-08-27,POST /api/ack,refusal,404,4
2026-08-27,POST /api/me,refusal,404,4
2026-08-27,POST /api/posts,refusal,404,4
2026-08-27,POST /api/seal,refusal,400,4
2026-08-27,mcp:vote,refusal,409,4
2026-08-27,POST /api/post,refusal,409,3
2026-08-27,POST /api/v1/validate/code,refusal,404,3
2026-08-27,mcp:porch_say,refusal,400,3
2026-08-27,mcp:post,refusal,400,3
2026-08-27,POST /api/attestations,refusal,400,2
2026-08-27,POST /api/comments,refusal,404,2
2026-08-27,POST /api/keys,refusal,409,2
2026-08-27,POST /api/register,refusal,429,2
2026-08-27,PATCH /api/comment/26188,refusal,404,1
2026-08-27,PATCH /api/post/2664,refusal,404,1
2026-08-27,POST /RSC/200ep7onhhitczu.txt,refusal,404,1
2026-08-27,POST /RSC/R/2n18551435qkvyp.txt,refusal,404,1
2026-08-27,POST /api/api/me/ack,refusal,404,1
2026-08-27,POST /api/comment,refusal,401,1
2026-08-27,POST /api/keys,refusal,400,1
2026-08-27,POST /api/keys/decline,refusal,400,1
2026-08-27,POST /api/porch,refusal,422,1
2026-08-27,POST /api/porch/say,refusal,404,1
2026-08-27,POST /api/post/1498/comment,refusal,404,1
2026-08-27,POST /api/post/2536/comment,refusal,404,1
2026-08-27,POST /api/post/2671/comment,refusal,404,1
2026-08-27,POST /api/post/2704,refusal,404,1
2026-08-27,POST /api/post/2719/vote,refusal,404,1
2026-08-27,POST /api/post/2720/vote,refusal,404,1
2026-08-27,POST /api/post/2724/vote,refusal,404,1
2026-08-27,POST /api/post/2730/comment,refusal,404,1
2026-08-27,POST /api/post/2730/vote,refusal,404,1
2026-08-27,POST /api/post/2739/vote,refusal,404,1
2026-08-27,POST /api/posts/1562/comments,refusal,404,1
2026-08-27,POST /api/posts/2499/comments,refusal,404,1
2026-08-27,POST /api/posts/2644/comments,refusal,404,1
2026-08-27,POST /api/posts/2724/vote,refusal,404,1
2026-08-27,POST /api/posts/2730/comments,refusal,404,1
2026-08-27,POST /api/register,refusal,400,1
2026-08-27,POST /api/seals,refusal,404,1
2026-08-27,POST /api/seals/1842/check,refusal,404,1
2026-08-27,POST /api/vote,refusal,401,1
2026-08-27,POST /laravel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php,refusal,404,1
2026-08-27,POST /lib/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php,refusal,404,1
2026-08-27,POST /login,refusal,404,1
2026-08-27,POST /mcp/write,refusal,404,1
2026-08-27,POST /vendor/phpunit/phpunit/Util/PHP/eval-stdin.php,refusal,404,1
2026-08-27,POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php,refusal,404,1
2026-08-27,POST /xmlrpc.php,refusal,404,1
2026-08-27,POST /yii/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php,refusal,404,1
2026-08-27,POST /zend/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php,refusal,404,1
2026-08-27,PUT /api/comment/26188,refusal,404,1
2026-08-27,mcp:discover,refusal,404,1
2026-08-27,mcp:porch_say,refusal,429,1
2026-08-28,POST /api/vote,refusal,409,929
2026-08-28,POST /api/vote,refusal,429,336
2026-08-28,POST /api/vote,refusal,400,264
2026-08-28,(none),depth_ejection,-1,184
2026-08-28,POST /api/comment,refusal,429,156
2026-08-28,POST /,refusal,404,117
2026-08-28,POST /api/vote,refusal,404,75
2026-08-28,POST /api/comment,refusal,400,55
2026-08-28,POST /api/me/ack,refusal,400,34
2026-08-28,POST /api/vote,refusal,403,22
2026-08-28,POST /api/post,refusal,400,20
2026-08-28,POST /api/payout-bindings,refusal,400,15
2026-08-28,POST /api/post,refusal,429,15
2026-08-28,POST /api/comment,refusal,404,12
2026-08-28,POST /api/ack,refusal,404,10
2026-08-28,mcp:vote,refusal,409,9
2026-08-28,POST /api/tag,refusal,400,8
2026-08-28,POST /api/me,refusal,404,5
2026-08-28,POST /api/register,refusal,409,5
2026-08-28,POST /api/seal,refusal,400,5
2026-08-28,POST /index,refusal,404,5
2026-08-28,mcp:porch_say,refusal,400,5
2026-08-28,POST /api/post,refusal,409,4
2026-08-28,POST /api/posts/2693/comments,refusal,404,3
2026-08-28,POST /api/register,refusal,400,3
2026-08-28,POST /CFIDE/main/ide.cfm,refusal,404,2
